dropout	middle	kn_num	lr	acc			max_dev_acc		test_time		epochs
0	12	100	0.001	8.051442335693908%	1.35125327974097%	1934.4000816345215	64
0	12	100	0.001	8.96944534876734%	5.381845587003853%	1794.0001487731934	128
0.5	6	100	0.01	0.0%	0%	1856.4002513885498	64
0	12	100	0.001	12.326265238237076%	15.657788813403268%	1918.7629222869873	256
0.5	6	100	0.01	0.0%	0%	1980.0000190734863	128
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	1170.292615890503	64
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	1305.1304817199707	128
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	1651.1647701263428	256
0	12	100	0.01	1.1070225154732196%	2.261749201068228%	2287.228584289551	256
0.5	8	100	0.001	0.2151799687010955%	0.17584994138335286%	254.02545928955078	64
0.5	8	100	0.001	0.3325508607198747%	0.2735443532629933%	256.0255527496338	128
0.5	8	100	0.001	0.4107981220657276%	0.3907776475185618%	253.02529335021973	256
0.5	8	100	0.001	0.4107981220657276%	0.3907776475185618%	212.0213508605957	256
0.5	8	100	0.01	0.0%	0%	242.02418327331543	64
0.5	8	100	0.01	0.0%	0%	270.0002193450928	128
0.5	8	100	0.01	0.0%	0%	269.99974250793457	256
0.5	8	100	0.01	0.0%	0%	237.99991607666016	256
0.5	8	100	0.1	1.5453834115805931%	2.2274325908558024%	491.09816551208496	64
0.5	8	100	0.001	0.0536138642554918%	0.053551010956247376%	1975.1973152160645	64
0.5	8	100	0.001	0.2101083869471982%	0.16210035748918153%	2054.2051792144775	128
0.5	8	100	0.1	1.5453834115805931%	2.2274325908558024%	393.0392265319824	128
0.5	8	100	0.001	0.3941343534457787%	0.4124875168251498%	2072.20721244812	256
0.5	8	100	0.001	0.3941343534457787%	0.4124875168251498%	2111.2112998962402	256
0.5	8	100	0.1	1.5453834115805931%	2.2274325908558024%	403.04017066955566	256
0.5	8	100	0.1	1.5453834115805931%	2.2274325908558024%	372.0371723175049	256
0.5	10	100	0.001	0.07824726134585289%	0.03907776475185619%	401.04007720947266	64
0.5	10	100	0.001	0.11737089201877933%	0.17584994138335286%	407.9592227935791	128
0.5	8	100	0.01	0.8853532718947466%	0.9754967941759684%	2217.0000076293945	64
0.5	10	100	0.001	0.31298904538341155%	0.5080109417741303%	338.99998664855957	256
0.5	10	100	0.001	0.31298904538341155%	0.5080109417741303%	388.0000114440918	256
0.5	10	100	0.01	1.5453834115805931%	2.2274325908558024%	368.9999580383301	64
0.5	10	100	0.01	1.5453834115805931%	2.2274325908558024%	335.9999656677246	128
0.5	8	100	0.01	0.8853532718947466%	0.9754967941759684%	3281.0003757476807	128
0.5	10	100	0.01	1.5453834115805931%	2.2274325908558024%	372.0369338989258	256
0.5	10	100	0.01	1.5453834115805931%	2.2274325908558024%	443.04394721984863	256
0.5	10	100	0.1	0.0%	0%	346.0347652435303	64
0.5	8	100	0.001	0.0%	0%	395.03931999206543	64
0.5	8	100	0.001	0.0%	0%	272.02725410461426	128
0.5	8	100	0.001	0.0%	0%	279.02793884277344	256
0.5	8	100	0.01	0.0%	0%	263.0000114440918	64
0.5	8	100	0.01	0.0%	0%	246.0000514984131	128
0.5	8	100	0.01	0.0%	0%	260.9999179840088	256
0.5	8	100	0.1	0.0%	0%	386.99984550476074	64
0.5	8	100	0.1	0.0%	0%	262.00008392333984	128
0.5	8	100	0.1	0.0%	0%	457.99970626831055	256
0.5	10	100	0.001	0.0%	0%	1701.0002136230469	64
0.5	10	100	0.001	0.0%	0%	259.02605056762695	128
0.5	10	100	0.001	0.0%	0%	254.02545928955078	256
0.5	10	100	0.01	0.0%	0%	253.02505493164062	64
0.5	10	100	0.01	0.0%	0%	288.0289554595947	128
0.5	10	100	0.01	0.0%	0%	253.02553176879883	256
0.5	10	100	0.1	0.0%	0%	276.0274410247803	64
0.5	10	100	0.1	0.0%	0%	299.0298271179199	128
0.5	10	100	0.1	0.0%	0%	253.9997100830078	256

0	7	100	0.001	11.252002053794877%	6.549437171947134%	2191.00022315979	64
0	7	100	0.001	7.686594890280151%	2.6317744893442097%	1540.9998893737793	64
0	7	100	0.001	0.45650730411686585%	0.7395418326693228%	1286.1287593841553	64
0	7	100	0.001	2.8672018164050033%	4.913384763224537%	1283.128261566162	128
0	7	100	0.001	0.9163346613545817%	1.046765319673686%	1275.127649307251	64
0	7	100	0.001	6.210872599069812%	5.981355961435644%	1275.1271724700928	128
0	7	100	0.001	8.569289885763123%	11.233008083107688%	1263.1261348724365	256
0	7	100	0.01	2.5390928291824717%	4.489459971769868%	2654.2654037475586	64
0.5	8	100	0.002	28.296851145456703%	25.09879751337828%	2751.275062561035	64
0.5	8	100	0.001	5.823215076203126%	1.8554354012521341%	2547.254800796509	64
0.5	8	100	0.002	5.366308964900517%	5.92586389772791%	1923.1922626495361	64
0.5	8	100	0.002	10.718256480548284%	12.834114888628367%	2074.207305908203	128
0.5	8	100	0.001	12.14069877665495%	9.136377352750992%	2357.2356700897217	128
